API Gateway Pattern,,https://java-design-patterns.com/patterns/api-gateway/,Markusmo3
Abstract Document Pattern,,https://en.wikipedia.org/wiki/Abstract_Document_Pattern,Wikipedia
Abstract Factory Pattern,Gof - Creational,https://en.wikipedia.org/wiki/Abstract_factory_pattern,Wikipedia
Action Domain Responder Pattern,Architectural,https://en.wikipedia.org/wiki/Action–domain–responder,Wikipedia
Active Object Pattern,Concurrency,https://en.wikipedia.org/wiki/Active_object,Wikipedia
Active Record Pattern,Architectural,https://en.wikipedia.org/wiki/Active_record_pattern,Wikipedia
Actor Pattern,Concurrency,https://en.wikipedia.org/wiki/Actor_model,Wikipedia
Acyclic Visitor Pattern,,https://java-design-patterns.com/patterns/acyclic-visitor/,Markusmo3
Adapter Pattern a.k.a. Wrapper Pattern,Gof - Structural,https://en.wikipedia.org/uiki/Adapter_pattern,Wikipedia
Aggregator Microservices Pattern,,https://java-design-patterns.com/patterns/aggregator-microservices/,Markusmo3
Ambassador Pattern,Cloud - Distributed Systems,https://docs.microsoft.com/en-us/azure/architecture/patterns/ambassador,Microsoft Azure
Anti-Corruption Layer Pattern,Cloud - Distributed Systems,https://docs.microsoft.com/en-us/azure/architecture/patterns/anti-corruption-layer,Microsoft Azure
Async Method Invocation Pattern,,https://en.wikipedia.org/wiki/Asynchronous_method_invocation,Wikipedia
Asynchronous Messaging Microservice Design Pattern,,http://blog.arungupta.me/microservice-design-patterns/,Arungupta
Availability Pattern,Cloud - Distributed Systems,https://docs.microsoft.com/en-us/azure/architecture/patterns/category/availability,Microsoft Azure
Backends for Frontends Pattern,Cloud - Distributed Systems,https://docs.microsoft.com/en-us/azure/architecture/patterns/backends-for-frontends,Microsoft Azure
Balking Pattern,Concurrency,https://en.wikipedia.org/wiki/Balking_pattern,Wikipedia
Barrier Pattern,Concurrency,https://en.wikipedia.org/wiki/Barrier_(computer_science),Wikipedia
Binding Properties Pattern,Concurrency,https://en.wikipedia.org/wiki/Binding_properties_pattern,Wikipedia
Blackboard Pattern,Behavioral,https://en.wikipedia.org/wiki/Blackboard_design_pattern,Wikipedia
Borg Pattern,,http://foobarnbaz.com/2010/10/06/borg-pattern/,Borg Pattern from Foobarnbaz
Branch Microservice Design Pattern,,http://blog.arungupta.me/microservice-design-patterns/,Arungupta
Bridge Pattern,Gof - Structural,https://en.wikipedia.org/wiki/Bridge_pattern,Wikipedia
Broker Pattern,Architectural,https://en.wikipedia.org/wiki/Broker_pattern,Wikipedia
Builder Pattern,Gof - Creational,https://en.wikipedia.org/wiki/Builder_pattern,Wikipedia
